seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,random,1000.0,0.0,0.0,10.0,6.0,0.0,0.649,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/random_seed1_20260815T185934Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/metrics.csv
1,random_r,1000.0,0.0,0.0,10.0,6.0,0.0,0.649,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/random_r_seed1_20260815T185934Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/metrics.csv
1,reactive_r,1000.0,9.0,30.0,31.0,497.0,614.0,8.418,76.53809880952382,2.317140056877105,,1000.0,32.0,10.0,6.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/reactive_r_seed1_20260815T185934Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_1/metrics.csv
2,random,1000.0,0.0,0.0,10.0,12.0,0.0,0.748,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/random_seed2_20260815T185935Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/metrics.csv
2,random_r,1000.0,0.0,0.0,10.0,12.0,0.0,0.748,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/random_r_seed2_20260815T185935Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/metrics.csv
2,reactive_r,1000.0,7.0,27.0,30.0,475.0,651.0,8.021,73.6929327922078,2.3149378730880885,,1000.0,17.0,4.0,4.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/reactive_r_seed2_20260815T185935Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_2/metrics.csv
3,random,1000.0,0.0,0.0,10.0,8.0,0.0,0.682,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/random_seed3_20260815T185935Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/metrics.csv
3,random_r,1000.0,0.0,0.0,10.0,8.0,0.0,0.682,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/random_r_seed3_20260815T185935Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/metrics.csv
3,reactive_r,1000.0,5.0,20.0,25.0,352.0,389.0,6.129,78.42438665223666,2.314704602117334,,1000.0,4.0,6.0,5.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/reactive_r_seed3_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_3/metrics.csv
4,random,1000.0,0.0,0.0,10.0,5.0,0.0,0.635,45.69126543209876,2.3201569493621834,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/random_seed4_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/metrics.csv
4,random_r,1000.0,0.0,0.0,10.0,5.0,0.0,0.635,45.69126543209876,2.3201569493621834,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/random_r_seed4_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/metrics.csv
4,reactive_r,1000.0,5.0,20.0,25.0,398.0,394.0,6.87,73.09463726551226,2.3142311729952736,,1000.0,23.0,4.0,3.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/reactive_r_seed4_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_4/metrics.csv
5,random,1000.0,0.0,0.0,10.0,7.0,0.0,0.656,49.252272727272725,2.315907250257317,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/random_seed5_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/metrics.csv
5,random_r,1000.0,0.0,0.0,10.0,7.0,0.0,0.656,49.252272727272725,2.315907250257317,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/random_r_seed5_20260815T185936Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/metrics.csv
5,reactive_r,1000.0,10.0,38.0,38.0,566.0,659.0,9.551,71.21480255300254,2.3147857760537263,,1000.0,3.0,11.0,4.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/reactive_r_seed5_20260815T185937Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_5/metrics.csv
6,random,1000.0,0.0,0.0,10.0,10.0,0.0,0.718,42.47746950019677,2.320468922526322,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/random_seed6_20260815T185944Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/metrics.csv
6,random_r,1000.0,0.0,0.0,10.0,10.0,0.0,0.718,42.47746950019677,2.320468922526322,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/random_r_seed6_20260815T185944Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/metrics.csv
6,reactive_r,1000.0,9.0,32.0,33.0,473.0,647.0,8.04,73.66897212787212,2.3176004657899263,,1000.0,20.0,5.0,4.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/reactive_r_seed6_20260815T185944Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_6/metrics.csv
7,random,1000.0,0.0,0.0,10.0,11.0,0.0,0.734,60.97022222222222,2.320014126600119,151.0,151.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/random_seed7_20260815T185945Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/metrics.csv
7,random_r,1000.0,0.0,1.0,11.0,12.0,0.0,0.752,40.3957680976431,2.320165478547011,121.0,121.0,20.0,1.0,1.0,0.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/random_r_seed7_20260815T185945Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/metrics.csv
7,reactive_r,1000.0,7.0,39.0,42.0,517.0,547.0,8.831,73.99903716838716,2.315797627151982,,1000.0,3.0,7.0,5.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/reactive_r_seed7_20260815T185945Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_7/metrics.csv
8,random,1000.0,0.0,0.0,10.0,6.0,0.0,0.645,42.32245407526306,2.3177374263227013,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_8/random_seed8_20260815T185945Z,/home/sun/dev/emergence_lab/experiments/results/ablation_c0r_100x1000/seed_8/metrics.csv
