controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
random,survived,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,any_birth,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,final_population,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,births,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,deaths,100,100,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,resources_consumed_count,100,100,6.74,6.0,3.1127629092645215,6.129898469784154,7.350101530215847,0.0,15.0
random,total_energy_final,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mean_population,100,100,0.66372,0.658,0.05299496450254744,0.6533329869575006,0.6741070130424993,0.549,0.791
random,mean_energy,100,100,45.33326947443422,44.04328431372549,6.086484698651677,44.14031847349849,46.526220475369946,36.09342991913746,80.08835697399527
random,action_entropy,100,100,2.3171872739032486,2.317859075142714,0.003533670294333321,2.3164946745255595,2.317879873280938,2.3040235263424687,2.321600439425637
random,time_to_extinction,100,100,107.98,105.0,27.370994010655025,102.61528517391162,113.34471482608839,59.0,217.0
random,time_to_extinction_censored,100,100,107.98,105.0,27.370994010655025,102.61528517391162,113.34471482608839,59.0,217.0
random,time_to_first_birth,100,0,nan,nan,0.0,nan,nan,nan,nan
random,max_generation,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,founders_reproducing_count,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_r,survived,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_r,any_birth,100,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.0,1.0
random_r,final_population,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_r,births,100,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.0,1.0
random_r,deaths,100,100,10.06,10.0,0.23868325657594203,10.013218081711116,10.106781918288885,10.0,11.0
random_r,resources_consumed_count,100,100,6.86,6.0,3.2906970186704925,6.215023384340584,7.504976615659417,0.0,17.0
random_r,total_energy_final,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_r,mean_population,100,100,0.6657900000000001,0.658,0.05641697126277381,0.6547322736324964,0.6768477263675038,0.549,0.848
random_r,mean_energy,100,100,44.407520048659805,43.33825057857315,4.509450466714699,43.52366775718372,45.29137234013589,36.09342991913746,76.20335648148148
random_r,action_entropy,100,100,2.3172128147053317,2.317945809670918,0.0035434862943173164,2.3165182913916453,2.317907338019018,2.3040235263424687,2.321600439425637
random_r,time_to_extinction,100,100,105.75,103.5,25.03790056387445,100.8425714894806,110.6574285105194,59.0,217.0
random_r,time_to_extinction_censored,100,100,105.75,103.5,25.03790056387445,100.8425714894806,110.6574285105194,59.0,217.0
random_r,time_to_first_birth,100,6,15.5,17.0,9.772410142846033,7.680443320323928,23.319556679676072,4.0,30.0
random_r,max_generation,100,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.0,1.0
random_r,founders_reproducing_count,100,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.0,1.0
reactive_r,survived,100,100,0.95,1.0,0.2190429135575903,0.9070675889427122,0.9929324110572877,0.0,1.0
reactive_r,any_birth,100,100,0.99,1.0,0.1,0.9704,1.0096,0.0,1.0
reactive_r,final_population,100,100,8.48,9.0,3.641733408999377,7.766220251836122,9.193779748163879,0.0,16.0
reactive_r,births,100,100,38.36,37.5,14.828664569990547,35.453581744281855,41.26641825571814,0.0,70.0
reactive_r,deaths,100,100,39.88,39.5,12.084951824730647,37.511349442352795,42.24865055764721,10.0,70.0
reactive_r,resources_consumed_count,100,100,526.6,531.5,149.04700634702496,497.3867867559831,555.8132132440169,22.0,794.0
reactive_r,total_energy_final,100,100,602.22,631.5,258.7021445523009,551.514379667749,652.925620332251,0.0,1012.0
reactive_r,mean_population,100,100,8.93727,9.0,2.3695893641402224,8.472830484628517,9.401709515371483,0.907,13.282
reactive_r,mean_energy,100,100,72.28934724032757,72.55046418234544,3.3231163667800043,71.63801643243869,72.94067804821645,55.13359325396826,78.42438665223666
reactive_r,action_entropy,100,100,2.315822855175666,2.3158773884144876,0.0016307937713742051,2.3155032195964766,2.3161424907548556,2.310792825694801,2.3202908218528373
reactive_r,time_to_extinction,100,5,536.6,506.0,296.63243248168266,276.5902089228177,796.6097910771823,201.0,902.0
reactive_r,time_to_extinction_censored,100,100,976.83,1000.0,117.7214701974731,953.7565918412953,999.9034081587048,201.0,1000.0
reactive_r,time_to_first_birth,100,99,14.565656565656566,4.0,24.926488499210183,9.655452111163871,19.47586102014926,1.0,201.0
reactive_r,max_generation,100,100,7.17,7.0,2.490608623033999,6.6818407098853365,7.658159290114663,0.0,13.0
reactive_r,founders_reproducing_count,100,100,3.98,4.0,1.3557211357723231,3.7142786573886246,4.245721342611375,0.0,8.0
