metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive_r,reactive,100,-0.02,0.0,0.24536099975754133,-0.0680907559524781,0.028090755952478095,-0.08151254689931743,2,94,4,-0.10168296606348273
any_birth,reactive_r,reactive,100,0.99,1.0,0.1,0.9704,1.0096,9.899999999999999,99,1,0,14.000714267493638
final_population,reactive_r,reactive,100,5.76,6.0,3.536590836875924,5.0668281959723185,6.453171804027681,1.6286871356280903,92,2,6,2.1174759195696673
births,reactive_r,reactive,100,38.36,37.5,14.828664569990547,35.453581744281855,41.26641825571814,2.586881631784355,99,1,0,3.6584030879232783
deaths,reactive_r,reactive,100,32.6,32.0,12.509390412200288,30.148159479208744,35.05184052079126,2.606042255121044,99,1,0,3.7950227717761527
resources_consumed_count,reactive_r,reactive,100,250.61,261.5,132.1237478558444,224.7137454202545,276.50625457974553,1.8967824033680287,94,1,5,2.0658132680116426
total_energy_final,reactive_r,reactive,100,-985.27,-876.5,855.3222542918363,-1152.9131618411998,-817.6268381588001,-1.151928404827668,6,1,93,-1.4365930428283042
mean_population,reactive_r,reactive,100,4.74195,4.84,2.199196351723589,4.310907515062176,5.172992484937824,2.1562194736652613,97,1,2,2.6002845954280223
mean_energy,reactive_r,reactive,100,-272.031151990419,-277.7428392968143,120.07333954757962,-295.5655265417446,-248.4967774390934,-2.2655416515889057,0,1,99,-3.194167678032969
action_entropy,reactive_r,reactive,100,0.0008883601945911001,0.0010474106028564023,0.002202668431545348,0.0004566371820082119,0.0013200832071739884,0.4033109032065459,65,1,34,0.42756131937974284
time_to_extinction,reactive_r,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.16998816897226626
time_to_extinction_censored,reactive_r,reactive,100,-7.85,0.0,103.39307901343682,-28.115043486633617,12.415043486633616,-0.07592384398359801,2,94,4,-0.07340935241384934
max_generation,reactive_r,reactive,100,7.17,7.0,2.490608623033999,6.6818407098853365,7.658159290114663,2.878814412545348,99,1,0,4.0712583857767655
founders_reproducing_count,reactive_r,reactive,100,3.98,4.0,1.3557211357723231,3.7142786573886246,4.245721342611375,2.935706979099862,99,1,0,4.151716624996372
survived,evolutionary,reactive,100,-0.91,-1.0,0.28762349126466136,-0.9663742042878737,-0.8536257957121264,-3.163858403911275,0,9,91,-4.379161178990668
any_birth,evolutionary,reactive,100,0.32,0.0,0.4688261722621507,0.22811007023661847,0.41188992976338157,0.6825557507934253,32,68,0,0.9652795998478126
final_population,evolutionary,reactive,100,-2.56,-3.0,1.3730449829676104,-2.8291168166616516,-2.2908831833383485,-1.8644691410378866,2,3,95,-2.441985691532008
births,evolutionary,reactive,100,0.99,0.0,2.969525350637844,0.4079730312749825,1.5720269687250175,0.3333866133816138,32,68,0,0.4714798701579137
deaths,evolutionary,reactive,100,3.55,3.0,2.7537852736430506,3.010258086365962,4.089741913634038,1.2891346445845493,97,3,0,1.97107037118062
resources_consumed_count,evolutionary,reactive,100,-250.67,-263.5,87.16141475574052,-267.7536372921251,-233.58636270787486,-2.8759285367553153,0,0,100,-3.7245050996070024
total_energy_final,evolutionary,reactive,100,-1577.54,-1550.5,935.8910238296169,-1760.974640670605,-1394.105359329395,-1.6856022334147294,0,3,97,-2.3832131983569416
mean_population,evolutionary,reactive,100,-3.12211,-3.292,1.0472524503902987,-3.327371480276499,-2.9168485197235015,-2.98123914519028,0,0,100,-3.6844027887358823
mean_energy,evolutionary,reactive,100,-296.80409246499397,-302.9183070957762,122.0433224946448,-320.7245836739444,-272.88360125604356,-2.431956836294895,0,0,100,-3.473077310461665
action_entropy,evolutionary,reactive,100,-0.5076723242820768,-0.4360912012688899,0.3037512375681839,-0.5672075668454408,-0.4481370817187127,-1.6713424061955242,0,0,100,-2.3645417476119124
time_to_extinction,evolutionary,reactive,3,-227.0,-109.0,208.72709455171363,-463.1969426841367,9.196942684136673,-1.0875444823659879,0,0,3,-0.9705204271402271
time_to_extinction_censored,evolutionary,reactive,100,-688.69,-859.5,297.45705725211985,-746.9915832214156,-630.3884167785845,-2.3152585666047165,0,6,94,-3.217767949996876
max_generation,evolutionary,reactive,100,0.48,0.0,0.9263810329350542,0.29842931754472934,0.6615706824552706,0.5181453235060474,32,68,0,0.732768143782447
founders_reproducing_count,evolutionary,reactive,100,0.34,0.0,0.5167888418597165,0.2387093869954956,0.44129061300450445,0.6579089416413789,32,68,0,0.9304237480757671
survived,evolutionary,reactive_r,100,-0.89,-1.0,0.31446603773522014,-0.9516353433961031,-0.8283646566038969,-2.8301943396169813,0,11,89,-3.885212953238412
any_birth,evolutionary,reactive_r,100,-0.67,-1.0,0.47258156262526085,-0.7626259862745511,-0.5773740137254489,-1.4177446878757827,0,33,67,-1.976590471015655
final_population,evolutionary,reactive_r,100,-8.32,-9.0,3.7682351253068007,-9.058574084560133,-7.581425915439867,-2.2079301644752345,1,5,94,-3.1533217706420125
births,evolutionary,reactive_r,100,-37.37,-36.5,15.339692357285449,-40.376579702027946,-34.36342029797205,-2.436163589829196,1,2,97,-3.494604342454249
deaths,evolutionary,reactive_r,100,-29.05,-28.0,12.43680997781354,-31.487614755651453,-26.61238524434855,-2.335807980649645,1,2,97,-3.3433162138860344
resources_consumed_count,evolutionary,reactive_r,100,-501.28,-504.5,158.31614452152888,-532.3099643262196,-470.2500356737803,-3.166322686261682,0,0,100,-4.570739024664045
