seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.778,43.56026936026936,1.3252748110769206,100.0,100.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_1/evolutionary_seed1_20260815T165854Z,experiments/results/batch100x1000/seed_1/metrics.csv
1,random,1000.0,0.0,0.0,10.0,6.0,0.0,0.649,51.16454918032787,2.3192086821868223,123.0,123.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_1/random_seed1_20260815T165854Z,experiments/results/batch100x1000/seed_1/metrics.csv
1,reactive,1000.0,3.0,0.0,7.0,249.0,1826.0,3.619,361.36265158730157,2.315424984507735,,1000.0,,,,1.0,0.0,0.0,experiments/results/batch100x1000/seed_1/reactive_seed1_20260815T165854Z,experiments/results/batch100x1000/seed_1/metrics.csv
2,evolutionary,1000.0,0.0,0.0,10.0,3.0,0.0,0.844,41.940718005952384,1.2974492515443976,129.0,129.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_2/evolutionary_seed2_20260815T165855Z,experiments/results/batch100x1000/seed_2/metrics.csv
2,random,1000.0,0.0,0.0,10.0,12.0,0.0,0.748,49.109485094850946,2.319660630965333,124.0,124.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_2/random_seed2_20260815T165855Z,experiments/results/batch100x1000/seed_2/metrics.csv
2,reactive,1000.0,3.0,0.0,7.0,287.0,1749.0,4.283,327.99193809523814,2.3139377116247806,,1000.0,,,,1.0,0.0,0.0,experiments/results/batch100x1000/seed_2/reactive_seed2_20260815T165855Z,experiments/results/batch100x1000/seed_2/metrics.csv
3,evolutionary,1000.0,7.0,23.0,26.0,337.0,406.0,5.653,78.8839273088023,1.212028501837327,,1000.0,,,,1.0,1.0,0.0,experiments/results/batch100x1000/seed_3/evolutionary_seed3_20260815T165855Z,experiments/results/batch100x1000/seed_3/metrics.csv
3,random,1000.0,0.0,0.0,10.0,8.0,0.0,0.682,44.644596560846566,2.3144722503067765,121.0,121.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_3/random_seed3_20260815T165855Z,experiments/results/batch100x1000/seed_3/metrics.csv
3,reactive,1000.0,4.0,0.0,6.0,371.0,1202.0,5.961,229.94499126984127,2.314779815357286,,1000.0,,,,1.0,0.0,0.0,experiments/results/batch100x1000/seed_3/reactive_seed3_20260815T165855Z,experiments/results/batch100x1000/seed_3/metrics.csv
4,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.655,38.76632996632997,1.7605961521998585,100.0,100.0,,,,0.0,0.0,0.0,experiments/results/batch100x1000/seed_4/evolutionary_seed4_20260815T165856Z,experiments/results/batch100x1000/seed_4/metrics.csv
