metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,100,0.97,1.0,0.1714466079977653,0.936396464832438,1.003603535167562,5.657738063926254,97,3,0,8.001249902359005
any_birth,reactive,random,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
final_population,reactive,random,100,2.72,3.0,1.2397458195007947,2.4770098193778445,2.962990180622156,2.1939981222080314,97,3,0,3.1027819002477006
births,reactive,random,100,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0.0
deaths,reactive,random,100,-2.72,-3.0,1.2397458195007947,-2.962990180622156,-2.4770098193778445,-2.1939981222080314,0,3,97,-3.1027819002477
resources_consumed_count,reactive,random,100,269.25,275.0,85.09571260075506,252.571240330252,285.928759669748,3.1640842031988683,100,0,0,4.478686294946981
total_energy_final,reactive,random,100,1587.49,1550.5,934.7836836683263,1404.272398001008,1770.707601998992,1.6982431633490755,97,3,0,2.4016785138156505
mean_population,reactive,random,100,3.5316,3.6239999999999997,1.0184173798575709,3.331990193547916,3.731209806452084,3.467733436063224,100,0,0,4.89959717133336
mean_energy,reactive,random,100,298.9872297563124,303.57086680099576,120.53881534056492,275.36162194956165,322.6128375630631,2.4804228323595794,100,0,0,3.507541533220467
action_entropy,reactive,random,100,-0.002252778922173424,-0.0026895326686946497,0.004288763754834537,-0.0030933766181209933,-0.0014121812262258547,-0.5252746597743847,27,0,73,-0.7414846279982236
time_to_extinction,reactive,random,3,344.0,392.0,229.7912095794789,83.96676725208113,604.0332327479189,1.4970111373255957,3,0,0,2.077494908913113
time_to_extinction_censored,reactive,random,100,876.7,895.0,103.01657216882215,856.5087518549109,896.8912481450892,8.510281225075865,100,0,0,12.549380332692873
survived,evolutionary,random,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.25137917447891767,6,94,0,0.3555038378462379
any_birth,evolutionary,random,100,0.32,0.0,0.4688261722621507,0.22811007023661847,0.41188992976338157,0.6825557507934253,32,68,0,0.9652795998478126
final_population,evolutionary,random,100,0.16,0.0,0.8130252769810425,0.0006470457117156714,0.31935295428828436,0.19679584944039907,6,94,0,0.2783113592973461
births,evolutionary,random,100,0.99,0.0,2.969525350637844,0.4079730312749825,1.5720269687250175,0.3333866133816138,32,68,0,0.4714798701579137
deaths,evolutionary,random,100,0.83,0.0,2.2249957439523476,0.39390083418533983,1.26609916581466,0.37303442141675214,32,68,0,0.5275503379995715
resources_consumed_count,evolutionary,random,100,18.58,3.0,42.960912467032166,10.159661156461693,27.0003388435383,0.43248615853441497,61,5,34,0.610844938433698
total_energy_final,evolutionary,random,100,9.95,0.0,50.03985785089096,0.14218786122537175,19.757812138774625,0.19884149210913155,6,94,0,0.2812043349032366
mean_population,evolutionary,random,100,0.40948999999999997,0.197,0.6350218399966471,0.2850257193606571,0.5339542806393428,0.6448439631653646,95,1,4,0.9126249316564852
mean_energy,evolutionary,random,100,2.183137291318433,0.6029814196523695,11.670559466545818,-0.10429236412454745,4.470566946761413,0.18706363628723147,56,0,44,0.2535529725434075
action_entropy,evolutionary,random,100,-0.5099251032042502,-0.4359877591874013,0.3036688160947309,-0.5694441911588175,-0.450406015249683,-1.679214579099807,0,0,100,-2.3749504439602043
time_to_extinction,evolutionary,random,94,142.5,25.0,233.8794262467423,95.21927097843354,189.78072902156646,0.6092883084537022,77,0,17,0.8654040031273854
time_to_extinction_censored,evolutionary,random,100,188.01,27.0,290.13777622350244,131.1429958601935,244.87700413980647,0.6480024850509981,83,0,17,0.9209494747987996
survived,evolutionary,reactive,100,-0.91,-1.0,0.28762349126466136,-0.9663742042878737,-0.8536257957121264,-3.163858403911275,0,9,91,-4.379161178990668
any_birth,evolutionary,reactive,100,0.32,0.0,0.4688261722621507,0.22811007023661847,0.41188992976338157,0.6825557507934253,32,68,0,0.9652795998478126
final_population,evolutionary,reactive,100,-2.56,-3.0,1.3730449829676104,-2.8291168166616516,-2.2908831833383485,-1.8644691410378866,2,3,95,-2.441985691532008
births,evolutionary,reactive,100,0.99,0.0,2.969525350637844,0.4079730312749825,1.5720269687250175,0.3333866133816138,32,68,0,0.4714798701579137
deaths,evolutionary,reactive,100,3.55,3.0,2.7537852736430506,3.010258086365962,4.089741913634038,1.2891346445845493,97,3,0,1.97107037118062
resources_consumed_count,evolutionary,reactive,100,-250.67,-263.5,87.16141475574052,-267.7536372921251,-233.58636270787486,-2.8759285367553153,0,0,100,-3.7245050996070024
total_energy_final,evolutionary,reactive,100,-1577.54,-1550.5,935.8910238296169,-1760.974640670605,-1394.105359329395,-1.6856022334147294,0,3,97,-2.3832131983569416
mean_population,evolutionary,reactive,100,-3.12211,-3.292,1.0472524503902987,-3.327371480276499,-2.9168485197235015,-2.98123914519028,0,0,100,-3.6844027887358823
mean_energy,evolutionary,reactive,100,-296.80409246499397,-302.9183070957762,122.0433224946448,-320.7245836739444,-272.88360125604356,-2.431956836294895,0,0,100,-3.473077310461665
action_entropy,evolutionary,reactive,100,-0.5076723242820768,-0.4360912012688899,0.3037512375681839,-0.5672075668454408,-0.4481370817187127,-1.6713424061955242,0,0,100,-2.3645417476119124
time_to_extinction,evolutionary,reactive,3,-227.0,-109.0,208.72709455171363,-463.1969426841367,9.196942684136673,-1.0875444823659879,0,0,3,-0.9705204271402271
time_to_extinction_censored,evolutionary,reactive,100,-688.69,-859.5,297.45705725211985,-746.9915832214156,-630.3884167785845,-2.3152585666047165,0,6,94,-3.217767949996876
