metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm,random,1,-4.0,-4.0,0.0,-4.0,-4.0,0.0,0,0,1,nan
births,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm,random,1,4.0,4.0,0.0,4.0,4.0,0.0,1,0,0,nan
resources_consumed_count,llm,random,1,25.0,25.0,0.0,25.0,25.0,0.0,1,0,0,nan
total_energy_final,llm,random,1,652.0,652.0,0.0,652.0,652.0,0.0,1,0,0,nan
mean_population,llm,random,1,-0.08000000000000007,-0.08000000000000007,0.0,-0.08000000000000007,-0.08000000000000007,0.0,0,0,1,nan
mean_energy,llm,random,1,35.098000000000006,35.098000000000006,0.0,35.098000000000006,35.098000000000006,0.0,1,0,0,nan
action_entropy,llm,random,1,-1.865285697510076,-1.865285697510076,0.0,-1.865285697510076,-1.865285697510076,0.0,0,0,1,nan
invalid_action_rate,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,llm,reactive,1,-4.0,-4.0,0.0,-4.0,-4.0,0.0,0,0,1,nan
births,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,llm,reactive,1,4.0,4.0,0.0,4.0,4.0,0.0,1,0,0,nan
resources_consumed_count,llm,reactive,1,4.0,4.0,0.0,4.0,4.0,0.0,1,0,0,nan
total_energy_final,llm,reactive,1,33.0,33.0,0.0,33.0,33.0,0.0,1,0,0,nan
mean_population,llm,reactive,1,-0.08000000000000007,-0.08000000000000007,0.0,-0.08000000000000007,-0.08000000000000007,0.0,0,0,1,nan
mean_energy,llm,reactive,1,2.6140000000000043,2.6140000000000043,0.0,2.6140000000000043,2.6140000000000043,0.0,1,0,0,nan
action_entropy,llm,reactive,1,-1.844280848359352,-1.844280848359352,0.0,-1.844280848359352,-1.844280848359352,0.0,0,0,1,nan
invalid_action_rate,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,llm,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
