seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,llm_b,200.0,3.0,0.0,7.0,83.0,1111.0,5.99,186.6573214285714,0.715868967175263,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/llm_b_seed1_20260817T143333Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/metrics.csv
1,random,200.0,0.0,0.0,10.0,6.0,0.0,3.245,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/random_seed1_20260817T143333Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/metrics.csv
1,reactive,200.0,3.0,0.0,7.0,60.0,561.0,6.095,122.8449246031746,2.3156266639389345,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/reactive_seed1_20260817T143333Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_1/metrics.csv
2,llm_b,200.0,4.0,0.0,6.0,68.0,488.0,6.41,102.55220833333333,0.9082899127284833,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/llm_b_seed2_20260817T145152Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/metrics.csv
2,random,200.0,0.0,0.0,10.0,12.0,0.0,3.74,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/random_seed2_20260817T145152Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/metrics.csv
2,reactive,200.0,5.0,0.0,5.0,83.0,824.0,7.245,113.64702380952382,2.311648732751454,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/reactive_seed2_20260817T145152Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_2/metrics.csv
3,llm_b,200.0,6.0,0.0,4.0,94.0,825.0,7.555,105.59143452380953,0.7341540197527319,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/llm_b_seed3_20260817T151155Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/metrics.csv
3,random,200.0,0.0,0.0,10.0,8.0,0.0,3.41,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/random_seed3_20260817T151155Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/metrics.csv
3,reactive,200.0,8.0,0.0,2.0,118.0,1244.0,9.03,126.77281944444445,2.312148426069607,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/reactive_seed3_20260817T151155Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_3/metrics.csv
4,llm_b,200.0,4.0,0.0,6.0,65.0,338.0,6.565,89.00404166666667,0.6610682917389281,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/llm_b_seed4_20260817T153507Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/metrics.csv
4,random,200.0,0.0,0.0,10.0,5.0,0.0,3.175,45.69126543209876,2.3201569493621834,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/random_seed4_20260817T153507Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/metrics.csv
4,reactive,200.0,4.0,0.0,6.0,69.0,613.0,6.725,110.04857142857144,2.317875777479299,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/reactive_seed4_20260817T153507Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_4/metrics.csv
5,llm_b,200.0,7.0,0.0,3.0,99.0,732.0,8.15,111.807,0.8806509257082727,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/llm_b_seed5_20260817T155542Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/metrics.csv
5,random,200.0,0.0,0.0,10.0,7.0,0.0,3.28,49.252272727272725,2.315907250257317,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/random_seed5_20260817T155542Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/metrics.csv
5,reactive,200.0,5.0,0.0,5.0,92.0,1050.0,7.345,139.20092261904762,2.31277501597046,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/reactive_seed5_20260817T155542Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_5/metrics.csv
6,llm_b,200.0,5.0,0.0,5.0,91.0,460.0,8.21,90.83220833333333,0.9007215619993475,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/llm_b_seed6_20260817T162119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/metrics.csv
6,random,200.0,0.0,0.0,10.0,10.0,0.0,3.59,42.47746950019677,2.320468922526322,122.0,122.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/random_seed6_20260817T162119Z,/home/sun/dev/emergence_lab/experiments/results/c3b_qwen38_27b_20x200/seed_6/metrics.csv
