controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
random,survived,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,any_birth,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,final_population,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,births,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,deaths,20,20,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,resources_consumed_count,20,20,7.2,6.5,2.706716791515818,6.0137290626327795,8.386270937367222,3.0,12.0
random,total_energy_final,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mean_population,20,20,3.35475,3.28,0.23027143594142616,3.253829093527863,3.4556709064721374,3.01,3.845
random,mean_energy,20,20,45.14315978807652,44.35677772195835,4.711112620164009,43.07842364668112,47.20789592947192,39.87386363636364,60.97022222222222
random,action_entropy,20,20,2.317943079579866,2.31874751751481,0.0024699631266880823,2.3168605705110403,2.3190255886486915,2.3132228254185563,2.3210367120251116
random,invalid_action_rate,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,time_to_extinction,20,20,107.15,101.5,20.678682132496792,98.08716796905887,116.21283203094114,77.0,151.0
random,time_to_extinction_censored,20,20,107.15,101.5,20.678682132496792,98.08716796905887,116.21283203094114,77.0,151.0
random,time_to_first_birth,20,0,nan,nan,0.0,nan,nan,nan,nan
random,max_generation,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,founders_reproducing_count,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,survived,20,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reactive,any_birth,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,final_population,20,20,4.95,5.0,1.3562719801759993,4.355587596644251,5.544412403355749,3.0,8.0
reactive,births,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,deaths,20,20,5.05,5.0,1.3562719801759993,4.455587596644251,5.644412403355749,2.0,7.0
reactive,resources_consumed_count,20,20,83.15,87.0,16.667885920314898,75.844976912029,90.45502308797101,52.0,118.0
reactive,total_energy_final,20,20,845.9,848.5,341.22964947995143,696.3495123335829,995.4504876664171,251.0,1328.0
reactive,mean_population,20,20,7.247749999999999,7.1850000000000005,0.7830279873333829,6.90457285363939,7.590927146360608,6.095,9.03
reactive,mean_energy,20,20,125.35223650793651,122.00729563492064,26.877459543626664,113.57267049393477,137.13180252193825,62.158206349206345,173.5545634920635
reactive,action_entropy,20,20,2.3149290731747256,2.316058035172989,0.0036584088938111216,2.3133257047834195,2.3165324415660318,2.306938240476641,2.3201321104816057
reactive,invalid_action_rate,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,time_to_extinction,20,0,nan,nan,0.0,nan,nan,nan,nan
reactive,time_to_extinction_censored,20,20,200.0,200.0,0.0,200.0,200.0,200.0,200.0
reactive,time_to_first_birth,20,0,nan,nan,0.0,nan,nan,nan,nan
reactive,max_generation,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,founders_reproducing_count,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_b,survived,20,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_b,any_birth,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_b,final_population,20,20,4.4,4.0,1.0954451150103321,3.9199000104144974,4.880099989585503,3.0,7.0
llm_b,births,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_b,deaths,20,20,5.6,6.0,1.0954451150103321,5.119900010414497,6.080099989585502,3.0,7.0
llm_b,resources_consumed_count,20,20,82.4,82.5,13.876902430032128,76.31817935846597,88.48182064153404,61.0,111.0
llm_b,total_energy_final,20,20,663.8,655.0,261.8703174433764,549.0302731058036,778.5697268941963,282.0,1184.0
llm_b,mean_population,20,20,7.069750000000001,7.140000000000001,0.7580957358650965,6.737499894625973,7.402000105374029,5.83,8.21
llm_b,mean_energy,20,20,115.94440357142858,109.7718392857143,25.91123505458124,104.58830411067683,127.30050303218033,71.71215079365079,186.6573214285714
llm_b,action_entropy,20,20,0.9904052485725862,0.983629423294252,0.18404539110681667,0.9097437995023522,1.07106669764282,0.6610682917389281,1.3317155685219098
llm_b,invalid_action_rate,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_b,time_to_extinction,20,0,nan,nan,0.0,nan,nan,nan,nan
llm_b,time_to_extinction_censored,20,20,200.0,200.0,0.0,200.0,200.0,200.0,200.0
llm_b,time_to_first_birth,20,0,nan,nan,0.0,nan,nan,nan,nan
llm_b,max_generation,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_b,founders_reproducing_count,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
