seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,llm_evolution,200.0,6.0,6.0,10.0,60.0,366.0,8.3,72.05164588189588,1.9646931457665575,,200.0,8.0,2.0,3.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/llm_evolution_seed1_20260915T171320Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/metrics.csv
1,random,200.0,0.0,0.0,10.0,6.0,0.0,3.245,51.16454918032787,2.3192086821868223,123.0,123.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/random_seed1_20260915T171320Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/metrics.csv
1,reactive,200.0,3.0,0.0,7.0,60.0,561.0,6.095,122.8449246031746,2.3156266639389345,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/reactive_seed1_20260915T171320Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_1/metrics.csv
2,llm_evolution,200.0,2.0,1.0,9.0,31.0,87.0,6.62,60.93488888888889,1.846848097848237,,200.0,79.0,1.0,1.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/llm_evolution_seed2_20260915T174955Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/metrics.csv
2,random,200.0,0.0,0.0,10.0,12.0,0.0,3.74,49.109485094850946,2.319660630965333,124.0,124.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/random_seed2_20260915T174954Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/metrics.csv
2,reactive,200.0,5.0,0.0,5.0,83.0,824.0,7.245,113.64702380952382,2.311648732751454,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/reactive_seed2_20260915T174954Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_2/metrics.csv
3,llm_evolution,200.0,4.0,6.0,12.0,52.0,209.0,7.395,68.59825813075813,1.836268066421491,,200.0,17.0,1.0,5.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/llm_evolution_seed3_20260915T181919Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/metrics.csv
3,random,200.0,0.0,0.0,10.0,8.0,0.0,3.41,44.644596560846566,2.3144722503067765,121.0,121.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/random_seed3_20260915T181919Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/metrics.csv
3,reactive,200.0,8.0,0.0,2.0,118.0,1244.0,9.03,126.77281944444445,2.312148426069607,,200.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/reactive_seed3_20260915T181919Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_3/metrics.csv
4,llm_evolution,200.0,3.0,2.0,9.0,55.0,198.0,7.755,69.11377976190477,1.9513792074598943,,200.0,101.0,2.0,1.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_4/llm_evolution_seed4_20260915T185211Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_4/metrics.csv
4,random,200.0,0.0,0.0,10.0,5.0,0.0,3.175,45.69126543209876,2.3201569493621834,91.0,91.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_4/random_seed4_20260915T185210Z,/home/sun/dev/emergence_lab/experiments/results/c5a_qwen38_27b_20x200/seed_4/metrics.csv
