metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,20,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0,0.0
any_birth,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
final_population,reactive,random,20,4.95,5.0,1.3562719801759993,4.355587596644251,5.544412403355749,3.649710435924256,20,0,0,5.1614699972187035
births,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
deaths,reactive,random,20,-4.95,-5.0,1.3562719801759993,-5.544412403355749,-4.355587596644251,-3.649710435924256,0,0,20,-5.1614699972187035
resources_consumed_count,reactive,random,20,75.95,82.0,16.2463761141402,68.82971172966771,83.0702882703323,4.674888693109606,20,0,0,6.360775916489606
total_energy_final,reactive,random,20,845.9,848.5,341.22964947995143,696.3495123335829,995.4504876664171,2.478975673096367,20,0,0,3.5058010176858545
mean_population,reactive,random,20,3.893,3.7375,0.8083566826072445,3.5387220634943,4.2472779365057,4.815943362333145,20,0,0,6.7454488723339106
mean_energy,reactive,random,20,80.20907671986,78.34497757335257,27.18166101309065,68.2961885336012,92.12196490611879,2.9508526605946344,20,0,0,4.156992218499345
action_entropy,reactive,random,20,-0.0030140064051402014,-0.0027280292620133206,0.005042729493758076,-0.0052240800494166885,-0.0008039327608637143,-0.5976934532917061,6,0,14,-0.965634119305528
invalid_action_rate,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction_censored,reactive,random,20,92.85,98.5,20.678682132496792,83.78716796905886,101.91283203094113,4.49013140223695,20,0,0,6.350004725880818
max_generation,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
founders_reproducing_count,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
survived,llm_evolution,random,20,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0,0.0
any_birth,llm_evolution,random,20,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0,0.0
final_population,llm_evolution,random,20,4.1,4.0,1.2937094768634556,3.5330068226531335,4.666993177346866,3.1691813914359486,20,0,0,4.481899305389155
births,llm_evolution,random,20,3.7,4.0,1.8945906376340316,2.8696590427642645,4.530340957235736,1.952928472517191,20,0,0,2.761857932178384
deaths,llm_evolution,random,20,-0.4,0.0,1.6026294183720637,-1.1023833111552932,0.30238331115529327,-0.24958982745138694,6,5,9,-0.3529733190121124
resources_consumed_count,llm_evolution,random,20,49.0,53.5,13.962355403765248,42.8807279414692,55.1192720585308,3.5094365229226367,20,0,0,5.291583819373593
total_energy_final,llm_evolution,random,20,279.75,282.5,111.45538404033672,230.90252422618255,328.59747577381745,2.50997295831627,20,0,0,3.5496377988405885
mean_population,llm_evolution,random,20,4.57275,4.7475000000000005,0.8571348769991927,4.197094077232202,4.948405922767798,5.334924669042848,20,0,0,8.00054422807332
mean_energy,llm_evolution,random,20,21.954807383640656,23.011278028298864,6.704912070205849,19.01625010590139,24.893364661379923,3.2744362869723087,20,0,0,4.802975663442508
action_entropy,llm_evolution,random,20,-0.41672507470565534,-0.4025067497264082,0.12199792841337377,-0.4701930242707609,-0.3632571251405498,-3.415837302528923,0,0,20,-4.841401103428612
invalid_action_rate,llm_evolution,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction_censored,llm_evolution,random,20,92.85,98.5,20.678682132496792,83.78716796905886,101.91283203094113,4.49013140223695,20,0,0,6.350004725880818
max_generation,llm_evolution,random,20,1.5,1.0,0.6069769786668839,1.233980610124988,1.766019389875012,2.4712634131437423,20,0,0,3.4948942350643053
founders_reproducing_count,llm_evolution,random,20,2.55,2.5,1.2763022245616642,1.9906358873449996,3.1093641126550002,1.9979593789987924,20,0,0,2.825541250850619
survived,llm_evolution,reactive,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
any_birth,llm_evolution,reactive,20,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0,0.0
final_population,llm_evolution,reactive,20,-0.85,-1.0,1.8715318802914815,-1.6702350112523912,-0.0297649887476088,-0.45417340145315444,3,5,12,-0.6413352176695285
births,llm_evolution,reactive,20,3.7,4.0,1.8945906376340316,2.8696590427642645,4.530340957235736,1.952928472517191,20,0,0,2.761857932178384
deaths,llm_evolution,reactive,20,4.55,4.0,2.4809802816416613,3.4626624501248835,5.637337549875117,1.8339525040437932,19,0,1,3.0648610301820147
resources_consumed_count,llm_evolution,reactive,20,-26.95,-30.0,21.721866256935904,-36.47002763153885,-17.42997236846115,-1.240685292931252,3,1,16,-1.812880163828992
total_energy_final,llm_evolution,reactive,20,-566.15,-689.0,372.5696367265136,-729.4358426782858,-402.8641573217142,-1.519581694778807,2,0,18,-2.230424289207539
mean_population,llm_evolution,reactive,20,0.6797500000000001,0.7949999999999995,1.0162644120814024,0.23435248352853671,1.1251475164714635,0.6688712031230238,15,0,5,0.8726736646041252
mean_energy,llm_evolution,reactive,20,-58.25426933621934,-54.44272132034632,27.009311928273714,-70.09162220565406,-46.41691646678461,-2.1568216728704583,1,0,19,-3.0244254895777996
action_entropy,llm_evolution,reactive,20,-0.4137110683005152,-0.39405918905632886,0.12276101643097447,-0.46751345593493415,-0.3599086806660962,-3.3700524835026506,0,0,20,-4.805204406963272
invalid_action_rate,llm_evolution,reactive,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction_censored,llm_evolution,reactive,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
max_generation,llm_evolution,reactive,20,1.5,1.0,0.6069769786668839,1.233980610124988,1.766019389875012,2.4712634131437423,20,0,0,3.4948942350643053
founders_reproducing_count,llm_evolution,reactive,20,2.55,2.5,1.2763022245616642,1.9906358873449996,3.1093641126550002,1.9979593789987924,20,0,0,2.825541250850619
