metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,20,1.0,1.0,0.0,1.0,1.0,0.0,20,0,0,0.0
any_birth,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
final_population,reactive,random,20,4.95,5.0,1.3562719801759993,4.355587596644251,5.544412403355749,3.649710435924256,20,0,0,5.1614699972187035
births,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
deaths,reactive,random,20,-4.95,-5.0,1.3562719801759993,-5.544412403355749,-4.355587596644251,-3.649710435924256,0,0,20,-5.1614699972187035
resources_consumed_count,reactive,random,20,75.95,82.0,16.2463761141402,68.82971172966771,83.0702882703323,4.674888693109606,20,0,0,6.360775916489606
total_energy_final,reactive,random,20,845.9,848.5,341.22964947995143,696.3495123335829,995.4504876664171,2.478975673096367,20,0,0,3.5058010176858545
mean_population,reactive,random,20,3.893,3.7375,0.8083566826072445,3.5387220634943,4.2472779365057,4.815943362333145,20,0,0,6.7454488723339106
mean_energy,reactive,random,20,80.20907671986,78.34497757335257,27.18166101309065,68.2961885336012,92.12196490611879,2.9508526605946344,20,0,0,4.156992218499345
action_entropy,reactive,random,20,-0.0030140064051402014,-0.0027280292620133206,0.005042729493758076,-0.0052240800494166885,-0.0008039327608637143,-0.5976934532917061,6,0,14,-0.965634119305528
invalid_action_rate,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction_censored,reactive,random,20,92.85,98.5,20.678682132496792,83.78716796905886,101.91283203094113,4.49013140223695,20,0,0,6.350004725880818
max_generation,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
founders_reproducing_count,reactive,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
survived,llm_b_evolution,random,20,0.6,1.0,0.5026246899500346,0.37971501711598554,0.8202849828840144,1.1937336386313322,12,8,0,1.688194301613413
any_birth,llm_b_evolution,random,20,0.7,1.0,0.47016234598162726,0.493942266649164,0.906057733350836,1.4888474289418194,14,6,0,2.105548226313834
final_population,llm_b_evolution,random,20,1.95,1.0,2.762054917705485,0.7394760594988978,3.1605239405011023,0.7059961000413122,12,8,0,0.9984292596609362
births,llm_b_evolution,random,20,2.8,1.0,3.2379330639029256,1.3809132662537018,4.219086733746298,0.8647491917652393,14,6,0,1.2229400350455737
deaths,llm_b_evolution,random,20,0.85,0.0,1.0894228312566052,0.3725393926417098,1.3274606073582902,0.7802296552015155,9,11,0,1.1034113601516666
resources_consumed_count,llm_b_evolution,random,20,15.4,12.0,20.755214943922432,6.303625985562913,24.496374014437087,0.741982197804675,16,0,4,1.0229643726721958
total_energy_final,llm_b_evolution,random,20,96.5,3.0,155.8857543877972,28.18005586714969,164.8199441328503,0.6190430958812108,12,8,0,0.8754591418886365
mean_population,llm_b_evolution,random,20,3.61325,3.2225,1.7198563855281945,2.859489705242687,4.367010294757313,2.1009021627641977,20,0,0,2.8584780277291872
mean_energy,llm_b_evolution,random,20,8.026273674471577,4.709952027369933,7.428075417888977,4.770776085498175,11.281771263444979,1.0805320655659962,18,0,2,1.238903593103471
action_entropy,llm_b_evolution,random,20,-1.545320308983799,-1.4394235572888365,0.44510573008945137,-1.7403964962361176,-1.3502441217314805,-3.4718050218613032,0,0,20,-4.919743630331929
invalid_action_rate,llm_b_evolution,random,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction,llm_b_evolution,random,8,48.25,49.0,26.16295090390226,30.12,66.38,1.8442109293108604,8,0,0,1.9606400862660374
time_to_extinction_censored,llm_b_evolution,random,20,71.45,76.5,30.394727728410572,58.12892323776854,84.77107676223147,2.3507366355913835,20,0,0,2.813378307943275
max_generation,llm_b_evolution,random,20,1.4,1.0,1.3917047478769187,0.7900585015110487,2.009941498488951,1.0059604971066858,14,6,0,1.4226429782198557
founders_reproducing_count,llm_b_evolution,random,20,1.05,1.0,0.9445132413883326,0.6360488205749761,1.463951179425024,1.1116837265898076,14,6,0,1.5721582032127697
survived,llm_b_evolution,reactive,20,-0.4,0.0,0.5026246899500346,-0.6202849828840145,-0.17971501711598561,-0.7958224257542215,0,12,8,-1.1254628677422756
any_birth,llm_b_evolution,reactive,20,0.7,1.0,0.47016234598162726,0.493942266649164,0.906057733350836,1.4888474289418194,14,6,0,2.105548226313834
final_population,llm_b_evolution,reactive,20,-3.0,-3.0,3.1622776601683795,-4.385929291125633,-1.6140707088743669,-0.9486832980505138,2,1,17,-1.378787925063633
births,llm_b_evolution,reactive,20,2.8,1.0,3.2379330639029256,1.3809132662537018,4.219086733746298,0.8647491917652393,14,6,0,1.2229400350455737
deaths,llm_b_evolution,reactive,20,5.8,5.0,1.7947291248483563,5.013425280425512,6.586574719574488,3.231685450298838,20,0,0,4.71504529924295
resources_consumed_count,llm_b_evolution,reactive,20,-60.55,-63.0,24.11698462429375,-71.11973453831865,-49.98026546168134,-2.5106787164016433,0,0,20,-3.1829753684996147
total_energy_final,llm_b_evolution,reactive,20,-749.4,-801.0,316.8334113162875,-888.2583648682885,-610.5416351317115,-2.3652808486535886,0,0,20,-2.825029154276282
mean_population,llm_b_evolution,reactive,20,-0.27974999999999994,-0.5425,1.9667462275759449,-1.1417145388328125,0.5822145388328125,-0.14224000843504733,9,0,11,-0.2041444299906281
mean_energy,llm_b_evolution,reactive,20,-72.18280304538841,-71.80534952185496,25.834231031690692,-83.5051540051142,-60.86045208566261,-2.794075928052289,0,0,20,-3.6454428225094664
action_entropy,llm_b_evolution,reactive,20,-1.5423063025786587,-1.4382389830192719,0.4446405971881514,-1.7371786363489452,-1.3474339688083723,-3.4686583104017057,0,0,20,-4.9100575048860104
invalid_action_rate,llm_b_evolution,reactive,20,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,0.0
time_to_extinction_censored,llm_b_evolution,reactive,20,-21.4,0.0,29.365930850848947,-34.27018665059107,-8.52981334940893,-0.7287356259432635,0,12,8,-1.0305878055934101
max_generation,llm_b_evolution,reactive,20,1.4,1.0,1.3917047478769187,0.7900585015110487,2.009941498488951,1.0059604971066858,14,6,0,1.4226429782198557
founders_reproducing_count,llm_b_evolution,reactive,20,1.05,1.0,0.9445132413883326,0.6360488205749761,1.463951179425024,1.1116837265898076,14,6,0,1.5721582032127697
