metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
final_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
births,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
deaths,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,reactive,random,1,21.0,21.0,0.0,21.0,21.0,0.0,1,0,0,nan
total_energy_final,reactive,random,1,619.0,619.0,0.0,619.0,619.0,0.0,1,0,0,nan
mean_population,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
mean_energy,reactive,random,1,32.484,32.484,0.0,32.484,32.484,0.0,1,0,0,nan
action_entropy,reactive,random,1,-0.02100484915072398,-0.02100484915072398,0.0,-0.02100484915072398,-0.02100484915072398,0.0,0,0,1,nan
invalid_action_rate,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
founders_reproducing_count,reactive,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
survived,llm_b_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_b_evolution,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_b_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
births,llm_b_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
deaths,llm_b_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,llm_b_evolution,random,1,10.0,10.0,0.0,10.0,10.0,0.0,1,0,0,nan
total_energy_final,llm_b_evolution,random,1,550.0,550.0,0.0,550.0,550.0,0.0,1,0,0,nan
mean_population,llm_b_evolution,random,1,1.1600000000000001,1.1600000000000001,0.0,1.1600000000000001,1.1600000000000001,0.0,1,0,0,nan
mean_energy,llm_b_evolution,random,1,23.408545454545468,23.408545454545468,0.0,23.408545454545468,23.408545454545468,0.0,1,0,0,nan
action_entropy,llm_b_evolution,random,1,-1.3211637092844093,-1.3211637092844093,0.0,-1.3211637092844093,-1.3211637092844093,0.0,0,0,1,nan
invalid_action_rate,llm_b_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_b_evolution,random,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_b_evolution,random,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
founders_reproducing_count,llm_b_evolution,random,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
survived,llm_b_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
any_birth,llm_b_evolution,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
final_population,llm_b_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
births,llm_b_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
deaths,llm_b_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
resources_consumed_count,llm_b_evolution,reactive,1,-11.0,-11.0,0.0,-11.0,-11.0,0.0,0,0,1,nan
total_energy_final,llm_b_evolution,reactive,1,-69.0,-69.0,0.0,-69.0,-69.0,0.0,0,0,1,nan
mean_population,llm_b_evolution,reactive,1,1.1600000000000001,1.1600000000000001,0.0,1.1600000000000001,1.1600000000000001,0.0,1,0,0,nan
mean_energy,llm_b_evolution,reactive,1,-9.075454545454534,-9.075454545454534,0.0,-9.075454545454534,-9.075454545454534,0.0,0,0,1,nan
action_entropy,llm_b_evolution,reactive,1,-1.3001588601336853,-1.3001588601336853,0.0,-1.3001588601336853,-1.3001588601336853,0.0,0,0,1,nan
invalid_action_rate,llm_b_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
time_to_extinction_censored,llm_b_evolution,reactive,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,nan
max_generation,llm_b_evolution,reactive,1,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0,nan
founders_reproducing_count,llm_b_evolution,reactive,1,2.0,2.0,0.0,2.0,2.0,0.0,1,0,0,nan
