controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
random,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
random,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,resources_consumed_count,1,1,4.0,4.0,0.0,4.0,4.0,4.0,4.0
random,total_energy_final,1,1,218.0,218.0,0.0,218.0,218.0,218.0,218.0
random,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
random,mean_energy,1,1,62.461999999999996,62.461999999999996,0.0,62.461999999999996,62.461999999999996,62.461999999999996,62.461999999999996
random,action_entropy,1,1,2.3192854229939353,2.3192854229939353,0.0,2.3192854229939353,2.3192854229939353,2.3192854229939353,2.3192854229939353
random,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
random,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
random,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
random,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reactive,any_birth,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,final_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,births,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,deaths,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,resources_consumed_count,1,1,25.0,25.0,0.0,25.0,25.0,25.0,25.0
reactive,total_energy_final,1,1,837.0,837.0,0.0,837.0,837.0,837.0,837.0
reactive,mean_population,1,1,10.0,10.0,0.0,10.0,10.0,10.0,10.0
reactive,mean_energy,1,1,94.946,94.946,0.0,94.946,94.946,94.946,94.946
reactive,action_entropy,1,1,2.2982805738432113,2.2982805738432113,0.0,2.2982805738432113,2.2982805738432113,2.2982805738432113,2.2982805738432113
reactive,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
reactive,time_to_first_birth,1,0,nan,nan,0.0,nan,nan,nan,nan
reactive,max_generation,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,founders_reproducing_count,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_evolution_memory,survived,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_evolution_memory,any_birth,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_evolution_memory,final_population,1,1,11.0,11.0,0.0,11.0,11.0,11.0,11.0
llm_evolution_memory,births,1,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0
llm_evolution_memory,deaths,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_evolution_memory,resources_consumed_count,1,1,25.0,25.0,0.0,25.0,25.0,25.0,25.0
llm_evolution_memory,total_energy_final,1,1,663.0,663.0,0.0,663.0,663.0,663.0,663.0
llm_evolution_memory,mean_population,1,1,11.22,11.22,0.0,11.22,11.22,11.22,11.22
llm_evolution_memory,mean_energy,1,1,79.80996969696969,79.80996969696969,0.0,79.80996969696969,79.80996969696969,79.80996969696969,79.80996969696969
llm_evolution_memory,action_entropy,1,1,1.204392093601695,1.204392093601695,0.0,1.204392093601695,1.204392093601695,1.204392093601695,1.204392093601695
llm_evolution_memory,invalid_action_rate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm_evolution_memory,time_to_extinction,1,0,nan,nan,0.0,nan,nan,nan,nan
llm_evolution_memory,time_to_extinction_censored,1,1,50.0,50.0,0.0,50.0,50.0,50.0,50.0
llm_evolution_memory,time_to_first_birth,1,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0
llm_evolution_memory,max_generation,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
llm_evolution_memory,founders_reproducing_count,1,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0
