seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.778,43.56026936026936,1.3252748110769206,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/evolutionary_seed1_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/metrics.csv
1,evolutionary_oracle,1000.0,0.0,0.0,10.0,47.0,0.0,1.329,64.65482625482625,2.320789696772635,519.0,519.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/evolutionary_oracle_seed1_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/metrics.csv
1,reactive,1000.0,3.0,0.0,7.0,249.0,1826.0,3.619,361.36265158730157,2.315424984507735,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/reactive_seed1_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_1/metrics.csv
2,evolutionary,1000.0,0.0,0.0,10.0,3.0,0.0,0.844,41.940718005952384,1.2974492515443976,129.0,129.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/evolutionary_seed2_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/metrics.csv
2,evolutionary_oracle,1000.0,0.0,0.0,10.0,75.0,0.0,1.777,85.3182150638033,2.3170506897694727,613.0,613.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/evolutionary_oracle_seed2_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/metrics.csv
2,reactive,1000.0,3.0,0.0,7.0,287.0,1749.0,4.283,327.99193809523814,2.3139377116247806,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/reactive_seed2_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_2/metrics.csv
3,evolutionary,1000.0,7.0,23.0,26.0,337.0,406.0,5.653,78.8839273088023,1.212028501837327,,1000.0,47.0,6.0,1.0,1.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/evolutionary_seed3_20260816T111612Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/metrics.csv
3,evolutionary_oracle,1000.0,0.0,0.0,10.0,102.0,0.0,2.228,94.41227106227106,2.316219236978614,560.0,560.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/evolutionary_oracle_seed3_20260816T111612Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/metrics.csv
3,reactive,1000.0,4.0,0.0,6.0,371.0,1202.0,5.961,229.94499126984127,2.314779815357286,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/reactive_seed3_20260816T111611Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_3/metrics.csv
4,evolutionary,1000.0,0.0,0.0,10.0,0.0,0.0,0.655,38.76632996632997,1.7605961521998585,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/evolutionary_seed4_20260816T111613Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/metrics.csv
4,evolutionary_oracle,1000.0,1.0,0.0,9.0,101.0,225.0,2.095,138.61645833333336,2.32055945019838,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/evolutionary_oracle_seed4_20260816T111613Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/metrics.csv
4,reactive,1000.0,2.0,0.0,8.0,223.0,590.0,3.876,196.5119642857143,2.316151230117718,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/reactive_seed4_20260816T111612Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_4/metrics.csv
5,evolutionary,1000.0,0.0,1.0,11.0,11.0,0.0,0.656,42.14700193423598,1.6061598544679945,95.0,95.0,33.0,1.0,1.0,0.0,1.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/evolutionary_seed5_20260816T111613Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/metrics.csv
5,evolutionary_oracle,1000.0,0.0,0.0,10.0,70.0,0.0,1.691,84.3513803496082,2.315520139111633,396.0,396.0,,0.0,0.0,0.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/evolutionary_oracle_seed5_20260816T111613Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/metrics.csv
5,reactive,1000.0,3.0,0.0,7.0,311.0,2493.0,4.273,502.24558452380955,2.316452468060159,,1000.0,,0.0,0.0,1.0,0.0,0.0,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/reactive_seed5_20260816T111613Z,/home/sun/dev/emergence_lab/experiments/results/diag_c2_oracle_100x1000/seed_5/metrics.csv
