metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,evolutionary,reactive,100,-0.91,-1.0,0.28762349126466136,-0.9663742042878737,-0.8536257957121264,-3.163858403911275,0,9,91,-4.379161178990668
any_birth,evolutionary,reactive,100,0.32,0.0,0.4688261722621507,0.22811007023661847,0.41188992976338157,0.6825557507934253,32,68,0,0.9652795998478126
final_population,evolutionary,reactive,100,-2.56,-3.0,1.3730449829676104,-2.8291168166616516,-2.2908831833383485,-1.8644691410378866,2,3,95,-2.441985691532008
births,evolutionary,reactive,100,0.99,0.0,2.969525350637844,0.4079730312749825,1.5720269687250175,0.3333866133816138,32,68,0,0.4714798701579137
deaths,evolutionary,reactive,100,3.55,3.0,2.7537852736430506,3.010258086365962,4.089741913634038,1.2891346445845493,97,3,0,1.97107037118062
resources_consumed_count,evolutionary,reactive,100,-250.67,-263.5,87.16141475574052,-267.7536372921251,-233.58636270787486,-2.8759285367553153,0,0,100,-3.7245050996070024
total_energy_final,evolutionary,reactive,100,-1577.54,-1550.5,935.8910238296169,-1760.974640670605,-1394.105359329395,-1.6856022334147294,0,3,97,-2.3832131983569416
mean_population,evolutionary,reactive,100,-3.12211,-3.292,1.0472524503902987,-3.327371480276499,-2.9168485197235015,-2.98123914519028,0,0,100,-3.6844027887358823
mean_energy,evolutionary,reactive,100,-296.80409246499397,-302.9183070957762,122.0433224946448,-320.7245836739444,-272.88360125604356,-2.431956836294895,0,0,100,-3.473077310461665
action_entropy,evolutionary,reactive,100,-0.5076723242820768,-0.4360912012688899,0.3037512375681839,-0.5672075668454408,-0.4481370817187127,-1.6713424061955242,0,0,100,-2.3645417476119124
time_to_extinction,evolutionary,reactive,3,-227.0,-109.0,208.72709455171363,-463.1969426841367,9.196942684136673,-1.0875444823659879,0,0,3,-0.9705204271402271
time_to_extinction_censored,evolutionary,reactive,100,-688.69,-859.5,297.45705725211985,-746.9915832214156,-630.3884167785845,-2.3152585666047165,0,6,94,-3.217767949996876
max_generation,evolutionary,reactive,100,0.48,0.0,0.9263810329350542,0.29842931754472934,0.6615706824552706,0.5181453235060474,32,68,0,0.732768143782447
