metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,evolutionary,reactive_r,100,-0.89,-1.0,0.31446603773522014,-0.9516353433961031,-0.8283646566038969,-2.8301943396169813,0,11,89,-3.885212953238412
any_birth,evolutionary,reactive_r,100,-0.67,-1.0,0.47258156262526085,-0.7626259862745511,-0.5773740137254489,-1.4177446878757827,0,33,67,-1.976590471015655
final_population,evolutionary,reactive_r,100,-8.32,-9.0,3.7682351253068007,-9.058574084560133,-7.581425915439867,-2.2079301644752345,1,5,94,-3.1533217706420125
births,evolutionary,reactive_r,100,-37.37,-36.5,15.339692357285449,-40.376579702027946,-34.36342029797205,-2.436163589829196,1,2,97,-3.494604342454249
deaths,evolutionary,reactive_r,100,-29.05,-28.0,12.43680997781354,-31.487614755651453,-26.61238524434855,-2.335807980649645,1,2,97,-3.3433162138860344
resources_consumed_count,evolutionary,reactive_r,100,-501.28,-504.5,158.31614452152888,-532.3099643262196,-470.2500356737803,-3.166322686261682,0,0,100,-4.570739024664045
total_energy_final,evolutionary,reactive_r,100,-592.27,-626.5,265.3770275809057,-644.2838974058575,-540.2561025941425,-2.2318058401623864,1,5,94,-3.1787669501425566
mean_population,evolutionary,reactive_r,100,-7.864059999999999,-7.881,2.4933868727844337,-8.352763827065749,-7.37535617293425,-3.153967034092061,0,0,100,-4.534728067530024
mean_energy,evolutionary,reactive_r,100,-24.77294047457493,-27.202216478498222,10.236297613115344,-26.779254806745538,-22.766626142404323,-2.420107485233175,5,0,95,-3.168368252053887
action_entropy,evolutionary,reactive_r,100,-0.5085606844766679,-0.4367601231153223,0.30374530565763475,-0.5680947643855643,-0.4490266045677715,-1.6742997340340462,0,0,100,-2.368721972820692
time_to_extinction,evolutionary,reactive_r,5,-285.4,-213.0,353.45904996194395,-595.2205174871413,24.42051748714124,-0.8074485574233515,1,0,4,-1.0719908729987528
time_to_extinction_censored,evolutionary,reactive_r,100,-680.84,-857.0,305.9272614412277,-740.8017432424806,-620.8782567575195,-2.2254963378959856,1,6,93,-3.1001445940521006
time_to_first_birth,evolutionary,reactive_r,32,39.75,18.0,63.33169211229439,17.806688211255246,61.69331178874475,0.6276478438238894,23,7,2,0.7000928063795414
max_generation,evolutionary,reactive_r,100,-6.69,-7.0,2.642676176480458,-7.2079645305901705,-6.17203546940983,-2.5315246943762166,0,3,97,-3.5603966220510705
founders_reproducing_count,evolutionary,reactive_r,100,-3.64,-4.0,1.3818447631680446,-3.910841573580937,-3.3691584264190633,-2.634159854291349,0,2,98,-3.548012338578108
survived,evolutionary_oracle_r,reactive_r,100,-0.78,-1.0,0.4623173950192375,-0.8706142094237705,-0.6893857905762295,-1.687152610746008,2,18,80,-2.527297417705278
