seed,controller,ticks,final_population,births,deaths,resources_consumed_count,total_energy_final,mean_population,mean_energy,action_entropy,time_to_extinction,time_to_extinction_censored,time_to_first_birth,max_generation,founders_reproducing_count,survived,any_birth,invalid_action_rate,run_dir,source_csv
1,evolutionary,10000.0,0.0,0.0,10.0,0.0,0.0,0.0778,43.56026936026936,1.3252748110769206,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_1/evolutionary_seed1_20260815T182416Z,experiments/results/persist_c2_c1r_100x10000/seed_1/metrics.csv
1,reactive_r,10000.0,4.0,361.0,367.0,5554.0,363.0,9.1834,75.44800243339994,2.315121829764988,,10000.0,32.0,50.0,6.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_1/reactive_r_seed1_20260815T182411Z,experiments/results/persist_c2_c1r_100x10000/seed_1/metrics.csv
2,evolutionary,10000.0,0.0,0.0,10.0,3.0,0.0,0.0844,41.940718005952384,1.2974492515443976,129.0,129.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_2/evolutionary_seed2_20260815T182419Z,experiments/results/persist_c2_c1r_100x10000/seed_2/metrics.csv
2,reactive_r,10000.0,0.0,66.0,76.0,1002.0,0.0,1.7125,68.99705336905298,2.31688858172447,2559.0,2559.0,17.0,9.0,4.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_2/reactive_r_seed2_20260815T182418Z,experiments/results/persist_c2_c1r_100x10000/seed_2/metrics.csv
3,evolutionary,10000.0,0.0,29.0,39.0,432.0,0.0,0.7309,71.75709173815714,1.1870116494232206,1423.0,1423.0,47.0,8.0,1.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_3/evolutionary_seed3_20260815T182423Z,experiments/results/persist_c2_c1r_100x10000/seed_3/metrics.csv
3,reactive_r,10000.0,5.0,235.0,240.0,3587.0,465.0,5.9533,74.43150225468975,2.316890301795859,,10000.0,4.0,53.0,5.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_3/reactive_r_seed3_20260815T182420Z,experiments/results/persist_c2_c1r_100x10000/seed_3/metrics.csv
4,evolutionary,10000.0,0.0,0.0,10.0,0.0,0.0,0.0655,38.76632996632997,1.7605961521998585,100.0,100.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_4/evolutionary_seed4_20260815T182430Z,experiments/results/persist_c2_c1r_100x10000/seed_4/metrics.csv
4,reactive_r,10000.0,5.0,269.0,274.0,4329.0,401.0,7.1671,73.50718753496504,2.315657403943387,,10000.0,23.0,49.0,3.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_4/reactive_r_seed4_20260815T182426Z,experiments/results/persist_c2_c1r_100x10000/seed_4/metrics.csv
5,evolutionary,10000.0,0.0,1.0,11.0,11.0,0.0,0.0656,42.14700193423598,1.6061598544679945,95.0,95.0,33.0,1.0,1.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_5/evolutionary_seed5_20260815T182436Z,experiments/results/persist_c2_c1r_100x10000/seed_5/metrics.csv
5,reactive_r,10000.0,8.0,326.0,328.0,4813.0,581.0,7.9968,70.59755029859029,2.315762210874781,,10000.0,3.0,77.0,4.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_5/reactive_r_seed5_20260815T182432Z,experiments/results/persist_c2_c1r_100x10000/seed_5/metrics.csv
6,evolutionary,10000.0,0.0,0.0,10.0,10.0,0.0,0.0752,34.71,2.078862162669311,201.0,201.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_6/evolutionary_seed6_20260815T182443Z,experiments/results/persist_c2_c1r_100x10000/seed_6/metrics.csv
6,reactive_r,10000.0,11.0,320.0,319.0,5273.0,779.0,8.7187,73.64640177322677,2.3154722146824303,,10000.0,20.0,38.0,4.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_6/reactive_r_seed6_20260815T182438Z,experiments/results/persist_c2_c1r_100x10000/seed_6/metrics.csv
7,evolutionary,10000.0,0.0,0.0,10.0,2.0,0.0,0.0812,43.31749847374847,1.995531835565211,105.0,105.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_7/evolutionary_seed7_20260815T182448Z,experiments/results/persist_c2_c1r_100x10000/seed_7/metrics.csv
7,reactive_r,10000.0,0.0,224.0,234.0,3078.0,0.0,5.1409,71.08615611133919,2.315833441967351,8194.0,8194.0,3.0,39.0,5.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_7/reactive_r_seed7_20260815T182446Z,experiments/results/persist_c2_c1r_100x10000/seed_7/metrics.csv
8,evolutionary,10000.0,0.0,0.0,10.0,43.0,0.0,0.1373,57.544340416579004,1.6416047555571476,680.0,680.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_8/evolutionary_seed8_20260815T182457Z,experiments/results/persist_c2_c1r_100x10000/seed_8/metrics.csv
8,reactive_r,10000.0,15.0,615.0,610.0,7238.0,918.0,12.0219,72.28384524060907,2.316226638307821,,10000.0,30.0,56.0,4.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_8/reactive_r_seed8_20260815T182450Z,experiments/results/persist_c2_c1r_100x10000/seed_8/metrics.csv
9,evolutionary,10000.0,0.0,0.0,10.0,50.0,0.0,0.1386,50.66922305764411,1.8628877706895177,666.0,666.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_9/evolutionary_seed9_20260815T182504Z,experiments/results/persist_c2_c1r_100x10000/seed_9/metrics.csv
9,reactive_r,10000.0,7.0,303.0,306.0,4786.0,406.0,7.934,73.28394118215118,2.315179820376446,,10000.0,19.0,51.0,4.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_9/reactive_r_seed9_20260815T182500Z,experiments/results/persist_c2_c1r_100x10000/seed_9/metrics.csv
10,evolutionary,10000.0,0.0,0.0,10.0,25.0,0.0,0.0913,33.90243902439025,1.6376704415039487,329.0,329.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_10/evolutionary_seed10_20260815T182507Z,experiments/results/persist_c2_c1r_100x10000/seed_10/metrics.csv
10,reactive_r,10000.0,0.0,30.0,40.0,371.0,0.0,0.6756,58.82328897681839,2.318946939035913,766.0,766.0,4.0,8.0,4.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_10/reactive_r_seed10_20260815T182507Z,experiments/results/persist_c2_c1r_100x10000/seed_10/metrics.csv
11,evolutionary,10000.0,0.0,0.0,10.0,1.0,0.0,0.0842,41.49764172335601,2.159818404609288,106.0,106.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_11/evolutionary_seed11_20260815T182512Z,experiments/results/persist_c2_c1r_100x10000/seed_11/metrics.csv
11,reactive_r,10000.0,3.0,334.0,341.0,4828.0,182.0,8.0308,72.7967106010656,2.31620284559672,,10000.0,3.0,44.0,2.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_11/reactive_r_seed11_20260815T182508Z,experiments/results/persist_c2_c1r_100x10000/seed_11/metrics.csv
12,evolutionary,10000.0,0.0,0.0,10.0,10.0,0.0,0.0861,47.85336617405583,1.9950500379129397,175.0,175.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_12/evolutionary_seed12_20260815T182520Z,experiments/results/persist_c2_c1r_100x10000/seed_12/metrics.csv
12,reactive_r,10000.0,6.0,513.0,517.0,6484.0,525.0,10.7854,71.82107607869254,2.316113438998307,,10000.0,3.0,52.0,2.0,1.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_12/reactive_r_seed12_20260815T182514Z,experiments/results/persist_c2_c1r_100x10000/seed_12/metrics.csv
13,evolutionary,10000.0,0.0,0.0,10.0,42.0,0.0,0.1327,47.179239897851886,1.7955123484296918,635.0,635.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_13/evolutionary_seed13_20260815T182524Z,experiments/results/persist_c2_c1r_100x10000/seed_13/metrics.csv
13,reactive_r,10000.0,0.0,4.0,14.0,130.0,0.0,0.2688,71.56380578167706,2.3170893028578776,506.0,506.0,20.0,1.0,4.0,0.0,1.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_13/reactive_r_seed13_20260815T182523Z,experiments/results/persist_c2_c1r_100x10000/seed_13/metrics.csv
14,evolutionary,10000.0,0.0,0.0,10.0,4.0,0.0,0.07,39.42974358974359,1.930894495313642,131.0,131.0,,0.0,0.0,0.0,0.0,0.0,experiments/results/persist_c2_c1r_100x10000/seed_14/evolutionary_seed14_20260815T182531Z,experiments/results/persist_c2_c1r_100x10000/seed_14/metrics.csv
