metric,a,b,n,mean_delta,median_delta,sd_delta,ci95_lo,ci95_hi,cohens_d_paired,n_pos,n_zero,n_neg,cohens_d_unpaired
survived,evolutionary,reactive_r,100,-0.68,-1.0,0.46882617226215073,-0.7718899297633816,-0.5881100702366185,-1.4504309704360288,0,32,68,-2.0512191496766015
any_birth,evolutionary,reactive_r,100,-0.67,-1.0,0.47258156262526085,-0.7626259862745511,-0.5773740137254489,-1.4177446878757827,0,33,67,-1.976590471015655
final_population,evolutionary,reactive_r,100,-6.28,-7.5,4.982960865780403,-7.256660329692959,-5.303339670307041,-1.2602948666779188,0,32,68,-1.7823260930451046
births,evolutionary,reactive_r,100,-331.15,-332.0,182.4753131220492,-366.9151613719216,-295.38483862807834,-1.8147660323701391,0,2,98,-2.5672608460720454
deaths,evolutionary,reactive_r,100,-324.87,-324.5,178.21248553342159,-359.7996471645506,-289.9403528354494,-1.8229362495428223,0,2,98,-2.5789164195705068
resources_consumed_count,evolutionary,reactive_r,100,-4460.35,-4878.5,2198.775390915809,-4891.309976619499,-4029.3900233805016,-2.0285609973751004,0,0,100,-2.8748991739041228
total_energy_final,evolutionary,reactive_r,100,-459.9,-538.0,358.9164529553085,-530.2476247792405,-389.55237522075953,-1.281356695167345,0,32,68,-1.8121120165432272
mean_population,evolutionary,reactive_r,100,-7.3485759999999996,-8.015099999999999,3.6316320473441372,-8.06037588127945,-6.636776118720548,-2.0234913405872477,0,0,100,-2.866144548455054
mean_energy,evolutionary,reactive_r,100,-24.82431361222442,-27.81328431511681,9.902211492432473,-26.765147064741182,-22.883480159707656,-2.506946416080469,3,0,97,-3.3841106415362465
action_entropy,evolutionary,reactive_r,100,-0.5118808599888375,-0.43590898326866545,0.3086723360240255,-0.5723806378495465,-0.4513810821281285,-1.6583308584835257,0,0,100,-2.3454367961137104
time_to_extinction,evolutionary,reactive_r,32,-4307.5625,-3659.0,3211.5059570389676,-5420.292543621191,-3194.832456378809,-1.3412905215257969,1,0,31,-1.9046118724434389
time_to_extinction_censored,evolutionary,reactive_r,100,-7967.62,-9792.0,3114.8951529284855,-8578.139449973984,-7357.100550026017,-2.5579095310829962,1,0,99,-3.6333858957420713
time_to_first_birth,evolutionary,reactive_r,32,39.75,18.0,63.33169211229439,17.806688211255246,61.69331178874475,0.6276478438238894,23,7,2,0.7000928063795414
max_generation,evolutionary,reactive_r,100,-45.49,-51.0,21.461026456478184,-49.696361185469726,-41.28363881453028,-2.1196563031247035,0,2,98,-2.984458259476849
founders_reproducing_count,evolutionary,reactive_r,100,-3.64,-4.0,1.3818447631680446,-3.910841573580937,-3.3691584264190633,-2.634159854291349,0,2,98,-3.548012338578108
